Habit,Date,Status,Comment
BUAD,2020-11-18,skip,
BUAD,2020-11-19,skip,
BUAD,2020-11-20,skip,
BUAD,2020-11-21,skip,
BUAD,2020-11-22,success,
150g protien,2020-12-11,success,
BUAD,2020-11-23,skip,
150g protien,2020-11-29,success,
150g protien,2020-11-30,success,
150g protien,2020-12-01,skip,
8hr sleep,2020-11-29,fail,
8hr sleep,2020-11-30,fail,
8hr sleep,2020-12-01,fail,
Basketball,2020-12-01,skip,
Basketball,2020-12-15,success,
Basketball,2020-12-16,success,
Basketball,2020-12-17,success,
Basketball,2020-12-18,skip,
Basketball,2020-12-19,success,
Basketball,2020-12-22,skip,
Business idea,2020-11-29,success,
Business idea,2020-11-30,fail,
Basketball,2020-12-20,fail,
Business idea,2020-12-01,skip,
Basketball,2020-12-21,skip,
Business idea,2020-12-21,fail,
Business idea,2020-12-23,fail,
Business idea,2020-12-24,success,
CEO,2020-11-29,fail,
Business idea,2020-12-25,success,
Business idea,2020-12-26,success,
Business idea,2020-12-28,success,
CEO,2020-11-30,success,
Business idea,2020-12-27,success,
Business idea,2020-12-29,success,
Business idea,2020-12-30,fail,
CEO,2020-12-01,skip,
Creatine,2020-11-30,success,
Daily progress,2020-11-30,success,
Creatine,2020-12-01,skip,
Creatine,2020-12-17,success,
Business idea,2020-12-20,success,
Daily progress,2020-11-29,success,
Creatine,2020-12-16,success,
Workout,2020-11-29,success,
Business idea,2020-12-22,success,
Creatine,2020-12-18,success,
Creatine,2020-12-19,success,
Workout,2020-11-30,success,
Daily progress,2020-12-01,success,
150g protien,2020-12-02,fail,
8hr sleep,2020-12-02,success,
Basketball,2020-12-02,success,
Basketball,2020-12-05,skip,
Business idea,2020-12-02,fail,
150g protien,2020-12-03,success,
Stretch,2020-12-02,fail,
8hr sleep,2020-12-03,success,
150g protien,2020-12-04,success,
150g protien,2020-12-12,fail,
150g protien,2020-12-13,fail,
8hr sleep,2020-12-04,success,
Business idea,2020-12-03,fail,
8hr sleep,2020-12-05,skip,
8hr sleep,2020-12-06,skip,
8hr sleep,2020-12-08,success,
8hr sleep,2020-12-09,fail,
8hr sleep,2020-12-10,success,
8hr sleep,2020-12-11,fail,
8hr sleep,2020-12-12,fail,
8hr sleep,2020-12-13,success,
Basketball,2020-12-04,success,
Basketball,2020-12-07,fail,
Basketball,2020-12-08,success,
Basketball,2020-12-09,fail,
Basketball,2020-12-10,fail,
Basketball,2020-12-11,success,
Basketball,2020-12-12,fail,
Basketball,2020-12-13,success,
Basketball,2020-12-14,success,
Business idea,2020-12-04,fail,
150g protien,2020-12-05,skip,
150g protien,2020-12-06,skip,
150g protien,2020-12-07,success,
150g protien,2020-12-08,fail,
150g protien,2020-12-09,success,
Business idea,2020-12-05,skip,
Business idea,2020-12-06,skip,
8hr sleep,2020-12-07,success,
Business idea,2020-12-07,fail,
150g protien,2020-12-10,fail,
Business idea,2020-12-08,fail,
Business idea,2020-12-09,success,
Business idea,2020-12-10,fail,
Basketball,2020-12-25,success,
Business idea,2020-12-11,fail,
Business idea,2020-12-13,success,
Basketball,2020-12-26,fail,
Business idea,2020-12-12,fail,
Business idea,2020-12-14,success,
Basketball,2020-12-27,fail,
Basketball,2020-12-28,skip,
Business idea,2020-12-15,success,
Business idea,2020-12-16,success,
Business idea,2020-12-17,success,
Business idea,2020-12-18,success,
Business idea,2020-12-19,fail,
Creatine,2020-12-12,success,
Basketball,2020-12-29,success,
Stretch,2020-11-29,success,
Stretch,2020-11-30,fail,
Basketball,2020-12-30,fail,
CEO,2020-12-02,fail,
Basketball,2021-01-01,fail,
Daily progress,2020-12-02,success,
Daily progress,2020-12-03,success,
Business idea,2020-12-31,fail,
Creatine,2020-12-11,success,
Basketball,2021-01-07,success,
Stretch,2020-12-01,skip,
Workout,2020-12-01,skip,
Linkedin,2020-12-08,success,
Linkedin,2020-12-09,success,
Basketball,2020-12-31,skip,
Basketball,2021-01-02,success,
Linkedin,2020-12-10,success,
Basketball,2021-01-03,fail,
Basketball,2021-01-04,success,
Basketball,2021-01-05,success,
Basketball,2021-01-06,success,
Linkedin,2020-12-11,success,
Business idea,2021-01-01,success,
Basketball,2021-01-08,success,
Linkedin,2020-12-12,success,
Workout,2020-12-02,success,
Basketball,2020-12-03,fail,
CEO,2020-12-03,fail,
CEO,2020-12-04,fail,
Basketball,2020-12-06,skip,
Stretch,2020-12-04,success,
CEO,2020-12-05,skip,
CEO,2020-12-09,fail,
Creatine,2020-12-08,fail,
Creatine,2020-12-09,success,
CEO,2020-12-10,fail,
Stretch,2020-12-03,success,
Creatine,2020-12-07,success,
Creatine,2020-12-10,success,
CEO,2020-12-11,fail,
CEO,2020-12-12,fail,
Workout,2020-12-03,success,
Workout,2020-12-04,success,
Stretch,2020-12-05,skip,
CEO,2020-12-06,skip,
CEO,2020-12-07,fail,
CEO,2020-12-08,fail,
Stretch,2020-12-06,skip,
Stretch,2020-12-07,fail,
Stretch,2020-12-08,success,
Stretch,2020-12-09,fail,
Workout,2020-12-06,skip,
Workout,2020-12-07,success,
Stretch,2020-12-10,success,
Stretch,2020-12-11,success,
Stretch,2020-12-12,success,
Workout,2020-12-08,success,
Workout,2020-12-09,success,
Workout,2020-12-10,skip,
Workout,2020-12-11,success,
Workout,2020-12-12,success,
CEO,2020-12-13,success,
150g protien,2020-12-14,fail,
Creatine,2020-12-04,success,
Creatine,2020-12-05,skip,
Creatine,2020-12-06,skip,
Creatine,2020-12-13,success,
Workout,2020-12-05,skip,
Linkedin,2020-12-13,success,
CEO,2020-12-14,success,
Stretch,2020-12-13,success,
150g protien,2020-12-15,success,
CEO,2020-12-15,success,
150g protien,2020-12-16,success,
Linkedin,2020-12-16,success,
150g protien,2020-12-17,success,
8hr sleep,2020-12-14,fail,
8hr sleep,2020-12-15,success,
CEO,2020-12-18,success,
CEO,2020-12-19,fail,
Creatine,2020-12-14,success,
Linkedin,2020-12-14,success,
Stretch,2020-12-14,success,
Creatine,2020-12-15,success,
Linkedin,2020-12-15,success,
CEO,2020-12-16,fail,
CEO,2020-12-17,success,
Workout,2020-12-13,success,
Linkedin,2020-12-17,success,
Workout,2020-12-14,fail,
Stretch,2020-12-15,fail,
8hr sleep,2020-12-16,success,
Stretch,2020-12-16,success,
Workout,2020-12-15,success,
8hr sleep,2020-12-17,success,
150g protien,2020-12-18,success,
8hr sleep,2020-12-18,success,
150g protien,2020-12-19,success,
150g protien,2020-12-20,fail,
150g protien,2020-12-21,success,
8hr sleep,2020-12-19,success,
Linkedin,2020-12-19,success,
